338,422	675,422	675,708	338,708
320,424	657,424	657,710	320,710
302,423	639,423	639,709	302,709
278,419	615,419	615,705	278,705
254,412	591,412	591,698	254,698
230,405	567,405	567,691	230,691
203,395	540,395	540,681	203,681
179,385	516,385	516,671	179,671
155,372	492,372	492,658	155,658
131,356	468,356	468,642	131,642
111,340	448,340	448,626	111,626
90,315	427,315	427,601	90,601
81,293	418,293	418,579	81,579
69,268	406,268	406,554	69,554
66,243	403,243	403,529	66,529
69,215	406,215	406,501	69,501
72,193	409,193	409,479	72,479
78,177	415,177	415,463	78,463
93,167	430,167	430,453	93,453
111,157	448,157	448,443	111,443
132,150	469,150	469,436	132,436
153,140	490,140	490,426	153,426
174,130	511,130	511,416	174,416
195,123	532,123	532,409	195,409
216,113	553,113	553,399	216,399
234,105	571,105	571,391	234,391
255,93	592,93	592,379	255,379
273,87	610,87	610,373	273,373
291,81	628,81	628,367	291,367
306,75	643,75	643,361	306,361
318,78	655,78	655,364	318,364
333,81	670,81	670,367	333,367
345,87	682,87	682,373	345,373
351,93	688,93	688,379	351,379
360,102	697,102	697,388	360,388
363,114	700,114	700,400	363,400
366,126	703,126	703,412	366,412
369,134	706,134	706,420	369,420
369,142	706,142	706,428	369,428
369,150	706,150	706,436	369,436
372,161	709,161	709,447	372,447
375,169	712,169	712,455	375,455
378,180	715,180	715,466	378,466
384,191	721,191	721,477	384,477
393,199	730,199	730,485	393,485
405,207	742,207	742,493	405,493
417,212	754,212	754,498	417,498
438,217	775,217	775,503	438,503
453,222	790,222	790,508	453,508
471,224	808,224	808,510	471,510
489,223	826,223	826,509	489,509
507,219	844,219	844,505	507,505
522,212	859,212	859,498	522,498
537,208	874,208	874,494	537,494
552,201	889,201	889,487	552,487
564,191	901,191	901,477	564,477
576,181	913,181	913,467	576,467
588,174	925,174	925,460	588,460
597,164	934,164	934,450	597,450
606,154	943,154	943,440	606,440
618,138	955,138	955,424	618,424
630,125	967,125	967,411	630,411
642,109	979,109	979,395	642,395
651,93	988,93	988,379	651,379
657,72	994,72	994,358	657,358
660,57	997,57	997,343	660,343
660,36	997,36	997,322	660,322
657,18	994,18	994,304	657,304
654,0	991,0	991,286	654,286
648,0	985,0	985,286	648,286
639,0	976,0	976,286	639,286
633,0	970,0	970,286	633,286
633,177	970,177	970,463	633,463
624,167	961,167	961,453	624,453
612,157	949,157	949,443	612,443
597,150	934,150	934,436	597,436
582,149	919,149	919,435	582,435
564,154	901,154	901,440	564,440
546,165	883,165	883,451	546,451
519,176	856,176	856,462	519,462
495,190	832,190	832,476	495,476
471,204	808,204	808,490	471,490
444,215	781,215	781,501	444,501
417,223	754,223	754,509	417,509
384,234	721,234	721,520	384,520
354,239	691,239	691,525	354,525
324,247	661,247	661,533	324,533
300,252	637,252	637,538	300,538
279,260	616,260	616,546	279,546
261,274	598,274	598,560	261,560
249,285	586,285	586,571	249,571
234,302	571,302	571,588	234,588
222,322	559,322	559,608	222,608
213,342	550,342	550,628	213,628
204,362	541,362	541,648	204,648
204,382	541,382	541,668	204,668
204,405	541,405	541,691	204,691
207,422	544,422	544,708	207,708
213,433	550,433	550,719	213,719
222,435	559,435	559,721	222,721
306,389	643,389	643,675	306,675
213,316	550,316	550,602	213,602
219,339	556,339	556,625	219,625
231,359	568,359	568,645	231,645
243,373	580,373	580,659	243,659
255,384	592,384	592,670	255,670
267,392	604,392	604,678	267,678
288,400	625,400	625,686	288,686
303,405	640,405	640,691	303,691
315,410	652,410	652,696	315,696
324,412	661,412	661,698	324,698
333,414	670,414	670,700	333,700
339,416	676,416	676,702	339,702
345,418	682,418	682,704	345,704
351,417	688,417	688,703	351,703
360,416	697,416	697,702	360,702
366,409	703,409	703,695	366,695
375,399	712,399	712,685	375,685
384,386	721,386	721,672	384,672
396,370	733,370	733,656	396,656
411,351	748,351	748,637	411,637
426,338	763,338	763,624	426,624
438,322	775,322	775,608	438,608
456,315	793,315	793,601	456,601
468,305	805,305	805,591	468,591
480,295	817,295	817,581	480,581
489,288	826,288	826,574	489,574
498,281	835,281	835,567	498,567
501,274	838,274	838,560	501,560
504,270	841,270	841,556	504,556
504,263	841,263	841,549	504,549
507,259	844,259	844,545	507,545
507,252	844,252	844,538	507,538
513,248	850,248	850,534	513,534
516,250	853,250	853,536	516,536
519,246	856,246	856,532	519,532
